name,product_url,part_number,brand_name,category,gross_weight,width,length,warranty,material,photo_url,stock_quantity,price
AMORTECEDOR DIANTEIRO,https://testdata.devmka.online/products/56d02cae-f517-4ec4-a07c-f26bf4ffac82,DV853-8921B,NGK,Suspensão e Direção,8.51,49.7,32.0,12 meses,Aço Carbono,https://picsum.photos/seed/DV853-8921B/200/300,177,1319.71
FILTRO DE COMBUSTÍVEL,https://testdata.devmka.online/products/383d7883-9071-44e4-8c42-ee92913ee20a,EA412-9974Y,BREMBO,Sistema Elétrico,1.95,6.6,17.0,12 meses,Cerâmica,https://picsum.photos/seed/EA412-9974Y/200/300,128,1070.59
ROLAMENTO DE RODA,https://testdata.devmka.online/products/dfb4c614-eabb-4bde-a6bc-d8fa8fa7f2aa,VV495-2561A,MARELLI,Freios,6.85,24.6,44.2,12 meses,Cerâmica,https://picsum.photos/seed/VV495-2561A/200/300,190,1071.81
AMORTECEDOR DIANTEIRO,https://testdata.devmka.online/products/01eeb771-a8e2-4bbc-b0fa-75017e918546,PV064-7854H,MARELLI,Suspensão e Direção,6.17,30.5,52.1,12 meses,Borracha Sintética,https://picsum.photos/seed/PV064-7854H/200/300,180,253.49
BATERIA AUTOMOTIVA,https://testdata.devmka.online/products/9b06e797-8954-4c0e-a924-8ace6678b98a,RN582-1882B,NGK,Filtros,11.03,38.4,45.1,12 meses,Cerâmica,https://picsum.photos/seed/RN582-1882B/200/300,100,55.22
FILTRO DE AR DO MOTOR,https://testdata.devmka.online/products/093710d9-5f7f-41bf-950a-24bf1d27f356,SC250-7248X,NGK,Freios,5.22,36.4,56.2,12 meses,Borracha Sintética,https://picsum.photos/seed/SC250-7248X/200/300,177,159.35
BICO INJETOR,https://testdata.devmka.online/products/518734a3-651f-4b51-ae1e-ed518ed2ebb2,JU280-8652P,MARELLI,Transmissão,7.87,41.5,37.1,12 meses,Alumínio,https://picsum.photos/seed/JU280-8652P/200/300,170,1272.73
DISCO DE FREIO,https://testdata.devmka.online/products/652bd5fa-167d-4c69-83aa-4aec99e99dc9,EQ077-5155C,BOSCH,Transmissão,13.69,10.4,19.8,12 meses,Alumínio,https://picsum.photos/seed/EQ077-5155C/200/300,182,682.81
BICO INJETOR,https://testdata.devmka.online/products/2f5cf9a7-a523-4fef-9d59-0bca9f00e541,HB142-7821B,ACDELCO,Transmissão,13.54,46.8,11.9,12 meses,Cerâmica,https://picsum.photos/seed/HB142-7821B/200/300,195,1226.85
SONDA LAMBDA,https://testdata.devmka.online/products/f2afc73d-09ac-4aa2-8551-df79f8fe1630,BP135-9535K,NGK,Freios,6.57,25.2,15.1,12 meses,Cerâmica,https://picsum.photos/seed/BP135-9535K/200/300,22,630.16
BATERIA AUTOMOTIVA,https://testdata.devmka.online/products/0e6e64c9-5237-41de-9dc9-20e491d5b4d9,YS374-5724I,SKF,Suspensão e Direção,11.56,13.7,55.5,12 meses,Alumínio,https://picsum.photos/seed/YS374-5724I/200/300,180,386.18
MOTOR DE PARTIDA,https://testdata.devmka.online/products/74f3cbdf-f66f-4b80-a8ae-b5dab2954377,LG784-0817D,SKF,Sistema Elétrico,6.13,6.9,16.8,12 meses,Cerâmica,https://picsum.photos/seed/LG784-0817D/200/300,21,1480.77
TERMINAL DE DIREÇÃO,https://testdata.devmka.online/products/2748f8c1-0c3a-4652-a24f-f17023499714,SH670-2485U,SKF,Motor,3.75,15.4,78.5,12 meses,Aço Carbono,https://picsum.photos/seed/SH670-2485U/200/300,189,339.84
ALTERNADOR,https://testdata.devmka.online/products/bbad688e-e661-460e-b7b5-c4f3c148d603,RB046-2151P,BREMBO,Filtros,10.44,48.7,35.2,12 meses,Cerâmica,https://picsum.photos/seed/RB046-2151P/200/300,56,1000.93
AMORTECEDOR DIANTEIRO,https://testdata.devmka.online/products/f69d8556-9d7c-4c1f-a3a4-7af4c402b0de,PS822-0446D,NGK,Suspensão e Direção,3.75,37.8,93.0,12 meses,Borracha Sintética,https://picsum.photos/seed/PS822-0446D/200/300,137,420.57
PASTILHA DE FREIO,https://testdata.devmka.online/products/951dba39-4138-429b-883d-c0ef1d0f6f08,WN213-2541P,SKF,Freios,14.29,44.3,44.9,12 meses,Cerâmica,https://picsum.photos/seed/WN213-2541P/200/300,53,438.77
MOTOR DE PARTIDA,https://testdata.devmka.online/products/4d531caf-4c4a-4632-825b-99d952983d81,EK899-0268S,BOSCH,Freios,7.75,19.1,16.5,12 meses,Borracha Sintética,https://picsum.photos/seed/EK899-0268S/200/300,114,291.85
FILTRO DE COMBUSTÍVEL,https://testdata.devmka.online/products/9678ac46-14b6-4e14-beef-52a00539b4fd,OB100-8787Q,MONROE,Freios,10.73,33.7,23.7,12 meses,Cerâmica,https://picsum.photos/seed/OB100-8787Q/200/300,102,1007.8
CORREIA DENTADA,https://testdata.devmka.online/products/7ccdcf30-1bb7-41a0-82e8-308dafb65953,WI871-4947Y,SKF,Suspensão e Direção,12.98,48.3,19.7,12 meses,Cerâmica,https://picsum.photos/seed/WI871-4947Y/200/300,130,1303.16
FILTRO DE COMBUSTÍVEL,https://testdata.devmka.online/products/26a84243-3b54-44b1-9160-a1802b9f4916,YB214-8733M,BOSCH,Freios,13.62,43.9,52.2,12 meses,Cerâmica,https://picsum.photos/seed/YB214-8733M/200/300,67,996.56
BATERIA AUTOMOTIVA,https://testdata.devmka.online/products/6f959ec7-d2fc-4f3c-a4d0-1164066c92f3,XO808-3637X,NGK,Freios,7.71,42.2,28.9,12 meses,Alumínio,https://picsum.photos/seed/XO808-3637X/200/300,115,1468.84
SONDA LAMBDA,https://testdata.devmka.online/products/21a0f429-253f-455c-9f55-36a8c44e8f9b,IK633-3335N,BOSCH,Suspensão e Direção,2.11,18.6,58.5,12 meses,Borracha Sintética,https://picsum.photos/seed/IK633-3335N/200/300,14,525.35
JUNTA HOMOCINÉTICA,https://testdata.devmka.online/products/0adff9c6-c908-45da-a609-a93844e02932,WF087-1189I,BREMBO,Suspensão e Direção,2.71,31.6,81.2,12 meses,Aço Carbono,https://picsum.photos/seed/WF087-1189I/200/300,126,156.61
PIVÔ DE SUSPENSÃO,https://testdata.devmka.online/products/c5559fcc-d358-4bb9-abee-499b80630f7c,GV398-5733O,MONROE,Transmissão,11.57,15.6,52.7,12 meses,Borracha Sintética,https://picsum.photos/seed/GV398-5733O/200/300,173,449.43
ROLAMENTO DE RODA,https://testdata.devmka.online/products/61571913-7a2e-4b49-a844-6cbe3567b8b4,KY268-1533E,NGK,Transmissão,10.41,12.2,74.3,12 meses,Cerâmica,https://picsum.photos/seed/KY268-1533E/200/300,148,1320.1
KIT DE EMBREAGEM,https://testdata.devmka.online/products/db3e18f2-0e29-49b0-a54c-06802359ec46,CX384-2328U,BOSCH,Transmissão,2.43,7.6,26.3,12 meses,Aço Carbono,https://picsum.photos/seed/CX384-2328U/200/300,180,1418.73
JUNTA HOMOCINÉTICA,https://testdata.devmka.online/products/8c28e325-e60e-4912-9c80-73fae50c0efe,XB936-7085P,MONROE,Sistema Elétrico,3.05,47.7,63.1,12 meses,Aço Carbono,https://picsum.photos/seed/XB936-7085P/200/300,157,1221.37
RADIADOR,https://testdata.devmka.online/products/96b21ff0-abf3-40d6-b597-92da48d196e4,XI098-1392M,BOSCH,Sistema Elétrico,14.9,37.8,90.3,12 meses,Borracha Sintética,https://picsum.photos/seed/XI098-1392M/200/300,178,202.74
DISCO DE FREIO,https://testdata.devmka.online/products/23a03d62-861f-4388-b377-6834156eb52c,WQ685-8278H,ACDELCO,Suspensão e Direção,1.15,27.1,44.5,12 meses,Borracha Sintética,https://picsum.photos/seed/WQ685-8278H/200/300,48,130.87
JUNTA HOMOCINÉTICA,https://testdata.devmka.online/products/fd6ee39a-978e-4fe6-9148-7922ea777b0d,KU095-1108V,BREMBO,Sistema Elétrico,0.21,43.0,49.8,12 meses,Alumínio,https://picsum.photos/seed/KU095-1108V/200/300,163,579.13
SONDA LAMBDA,https://testdata.devmka.online/products/c451c741-b1d0-408b-a474-e07269a97905,PV604-1315Q,SKF,Sistema Elétrico,8.77,25.2,34.3,12 meses,Alumínio,https://picsum.photos/seed/PV604-1315Q/200/300,185,1428.01
FILTRO DE COMBUSTÍVEL,https://testdata.devmka.online/products/147c0289-6efb-4254-9d4d-ef7bad677c32,WN317-5646G,ACDELCO,Filtros,10.86,20.0,25.6,12 meses,Borracha Sintética,https://picsum.photos/seed/WN317-5646G/200/300,59,440.68
FILTRO DE ÓLEO,https://testdata.devmka.online/products/ea201000-65a6-409e-8912-96a664bd791b,AO148-3625C,BOSCH,Sistema Elétrico,6.99,40.3,51.4,12 meses,Cerâmica,https://picsum.photos/seed/AO148-3625C/200/300,171,1388.89
KIT DE EMBREAGEM,https://testdata.devmka.online/products/8bfbaf27-d960-40fe-b96e-1f2bb172a011,WS564-0597A,MONROE,Motor,6.55,36.4,50.2,12 meses,Alumínio,https://picsum.photos/seed/WS564-0597A/200/300,131,532.62
AMORTECEDOR DIANTEIRO,https://testdata.devmka.online/products/520ebe78-4b97-48fe-b58d-1d9276fa6ee8,RZ734-7214W,NGK,Suspensão e Direção,2.35,27.8,83.4,12 meses,Alumínio,https://picsum.photos/seed/RZ734-7214W/200/300,145,524.26
FILTRO DE COMBUSTÍVEL,https://testdata.devmka.online/products/904002b0-79fa-4947-b18c-f01e038a5174,DJ584-1736I,ACDELCO,Motor,2.43,36.5,36.8,12 meses,Aço Carbono,https://picsum.photos/seed/DJ584-1736I/200/300,56,632.72
VELA DE IGNIÇÃO,https://testdata.devmka.online/products/3801025d-2bc7-4d9d-ad65-c5b39c336b4e,LL425-0373I,ACDELCO,Filtros,14.58,8.9,53.8,12 meses,Aço Carbono,https://picsum.photos/seed/LL425-0373I/200/300,197,513.5
FILTRO DE COMBUSTÍVEL,https://testdata.devmka.online/products/1f719706-8607-4a89-bea0-e9cf2f786fe5,WS944-1233I,MONROE,Motor,3.54,13.0,24.9,12 meses,Borracha Sintética,https://picsum.photos/seed/WS944-1233I/200/300,40,810.39
CORREIA DENTADA,https://testdata.devmka.online/products/093f0fc2-8f3e-4005-9ebf-1900762446be,WC195-0185M,NGK,Suspensão e Direção,6.59,5.3,38.7,12 meses,Cerâmica,https://picsum.photos/seed/WC195-0185M/200/300,9,310.56
PIVÔ DE SUSPENSÃO,https://testdata.devmka.online/products/c3629abf-77a1-472a-8508-898de7cf8e6a,NT694-0357F,SKF,Motor,6.77,33.4,68.3,12 meses,Borracha Sintética,https://picsum.photos/seed/NT694-0357F/200/300,101,892.35
PASTILHA DE FREIO,https://testdata.devmka.online/products/09e0a9d4-b5c1-458d-9c3d-d36bde459800,GQ057-4000Q,BREMBO,Suspensão e Direção,9.98,10.4,25.7,12 meses,Alumínio,https://picsum.photos/seed/GQ057-4000Q/200/300,134,496.33
FILTRO DE ÓLEO,https://testdata.devmka.online/products/4f11e279-4204-4826-a3bf-19826c75545c,DC526-7108T,ACDELCO,Motor,4.57,23.7,82.8,12 meses,Borracha Sintética,https://picsum.photos/seed/DC526-7108T/200/300,193,1492.85
ROLAMENTO DE RODA,https://testdata.devmka.online/products/2ab814a1-6363-475e-b3d8-1fe06cff7523,TB151-9453B,ACDELCO,Motor,4.03,7.2,60.9,12 meses,Alumínio,https://picsum.photos/seed/TB151-9453B/200/300,193,378.0
CORREIA DENTADA,https://testdata.devmka.online/products/337ad697-46ad-4748-b563-8b1c22b8343c,JS855-9211S,ACDELCO,Freios,11.87,47.5,18.3,12 meses,Cerâmica,https://picsum.photos/seed/JS855-9211S/200/300,160,676.96
BATERIA AUTOMOTIVA,https://testdata.devmka.online/products/e8549054-5ac0-4525-a619-8d0055002c80,TE473-3745A,SKF,Suspensão e Direção,2.43,48.7,60.6,12 meses,Aço Carbono,https://picsum.photos/seed/TE473-3745A/200/300,193,692.91
DISCO DE FREIO,https://testdata.devmka.online/products/2eb3c649-c458-4274-8eb5-9e15f808d826,BD422-7249N,SKF,Suspensão e Direção,5.54,27.7,13.2,12 meses,Aço Carbono,https://picsum.photos/seed/BD422-7249N/200/300,58,316.06
FILTRO DE ÓLEO,https://testdata.devmka.online/products/c10c8ada-cf1f-43c6-b2ce-899c9cc63d64,PH234-3781F,SKF,Sistema Elétrico,0.74,24.2,67.8,12 meses,Cerâmica,https://picsum.photos/seed/PH234-3781F/200/300,4,1102.53
DISCO DE FREIO,https://testdata.devmka.online/products/85fef03b-9531-4bb8-964c-41f86cb4eff7,EP503-9636L,BREMBO,Filtros,14.52,26.2,11.1,12 meses,Aço Carbono,https://picsum.photos/seed/EP503-9636L/200/300,155,1033.94
VELA DE IGNIÇÃO,https://testdata.devmka.online/products/35f07b4e-5ca0-410c-a86b-62c601e6fcda,LG106-8646A,SKF,Transmissão,9.18,15.5,60.5,12 meses,Borracha Sintética,https://picsum.photos/seed/LG106-8646A/200/300,137,1040.9
MOTOR DE PARTIDA,https://testdata.devmka.online/products/b2a1ddf6-d3b6-42e1-a625-761b5e1627e7,PR302-9591G,ACDELCO,Freios,0.64,17.6,48.1,12 meses,Alumínio,https://picsum.photos/seed/PR302-9591G/200/300,96,724.09
AMORTECEDOR DIANTEIRO,https://testdata.devmka.online/products/aac0e43a-4ead-44ed-9a54-5be28c1cae8d,PS705-2407O,SKF,Filtros,0.98,5.6,53.0,12 meses,Borracha Sintética,https://picsum.photos/seed/PS705-2407O/200/300,44,129.77
BICO INJETOR,https://testdata.devmka.online/products/08d24987-7c49-4978-aace-5ef8ef13457d,JJ402-9585B,BOSCH,Motor,13.37,28.9,76.5,12 meses,Aço Carbono,https://picsum.photos/seed/JJ402-9585B/200/300,182,1258.93
BICO INJETOR,https://testdata.devmka.online/products/4f09538d-740f-418a-b61e-6ae29a6f0d0c,RB866-6120T,BOSCH,Suspensão e Direção,14.07,32.3,21.6,12 meses,Aço Carbono,https://picsum.photos/seed/RB866-6120T/200/300,41,278.47
SONDA LAMBDA,https://testdata.devmka.online/products/fc005df7-0e05-4069-beb4-4a8f1d437d7e,QD882-3643Z,BREMBO,Sistema Elétrico,10.78,48.0,22.6,12 meses,Alumínio,https://picsum.photos/seed/QD882-3643Z/200/300,77,1182.73
SONDA LAMBDA,https://testdata.devmka.online/products/c47ddaa7-5a6b-47f1-a4f8-3aecc6add464,JY616-5845F,BOSCH,Motor,8.35,38.0,37.5,12 meses,Cerâmica,https://picsum.photos/seed/JY616-5845F/200/300,192,1492.15
JUNTA HOMOCINÉTICA,https://testdata.devmka.online/products/20a1030b-ea51-4253-9609-1b8e30de9995,TL944-4686N,MARELLI,Sistema Elétrico,9.23,28.2,59.1,12 meses,Aço Carbono,https://picsum.photos/seed/TL944-4686N/200/300,17,185.3
TERMINAL DE DIREÇÃO,https://testdata.devmka.online/products/1bb1c618-117a-4952-9f34-765b24cb4340,AV145-4847V,MONROE,Transmissão,13.82,38.9,27.6,12 meses,Cerâmica,https://picsum.photos/seed/AV145-4847V/200/300,92,1106.7
PASTILHA DE FREIO,https://testdata.devmka.online/products/d8003907-b6a9-473c-9b22-9cd4c5845b6a,CW048-8160P,NGK,Transmissão,6.04,16.4,99.1,12 meses,Borracha Sintética,https://picsum.photos/seed/CW048-8160P/200/300,117,300.62
TERMINAL DE DIREÇÃO,https://testdata.devmka.online/products/985df15c-d33b-4eee-ac9b-de6118719e68,HB715-0484W,ACDELCO,Freios,14.7,15.6,52.9,12 meses,Borracha Sintética,https://picsum.photos/seed/HB715-0484W/200/300,68,729.24
FILTRO DE COMBUSTÍVEL,https://testdata.devmka.online/products/69542381-42c3-4d94-bf48-d87c554a75f4,OJ044-9833F,MONROE,Filtros,2.26,35.6,89.2,12 meses,Alumínio,https://picsum.photos/seed/OJ044-9833F/200/300,81,559.61
FILTRO DE ÓLEO,https://testdata.devmka.online/products/baffc643-aa49-4084-8118-4a893e553e82,UM062-2060E,SKF,Suspensão e Direção,4.11,28.9,76.0,12 meses,Aço Carbono,https://picsum.photos/seed/UM062-2060E/200/300,147,541.93
TERMINAL DE DIREÇÃO,https://testdata.devmka.online/products/ed0964fe-2d76-4e10-84bb-96909cd9d789,LQ496-6681J,BOSCH,Transmissão,9.21,23.0,97.3,12 meses,Aço Carbono,https://picsum.photos/seed/LQ496-6681J/200/300,114,112.35
PASTILHA DE FREIO,https://testdata.devmka.online/products/3d077e24-631f-4fd2-881e-998025c09c52,GW890-8168I,NGK,Filtros,0.62,38.1,93.4,12 meses,Borracha Sintética,https://picsum.photos/seed/GW890-8168I/200/300,77,1361.84
VELA DE IGNIÇÃO,https://testdata.devmka.online/products/2bf351ed-610f-43f9-9ae1-a3968c7b3c69,DC420-2895B,MONROE,Motor,7.44,16.1,12.7,12 meses,Alumínio,https://picsum.photos/seed/DC420-2895B/200/300,91,150.31
PASTILHA DE FREIO,https://testdata.devmka.online/products/bbee0820-7de6-497d-8c70-34960614829c,HH516-2290V,ACDELCO,Sistema Elétrico,1.09,36.8,94.5,12 meses,Aço Carbono,https://picsum.photos/seed/HH516-2290V/200/300,182,1232.46
BATERIA AUTOMOTIVA,https://testdata.devmka.online/products/59cf201d-1be4-4552-84ef-0fb2ddd0735a,HG985-3450L,MONROE,Suspensão e Direção,12.42,16.5,11.7,12 meses,Borracha Sintética,https://picsum.photos/seed/HG985-3450L/200/300,35,1278.19
JUNTA HOMOCINÉTICA,https://testdata.devmka.online/products/35a66417-c4a8-49b2-bfcc-8598f640365b,RT260-6462Z,BOSCH,Freios,8.4,47.2,67.5,12 meses,Aço Carbono,https://picsum.photos/seed/RT260-6462Z/200/300,175,800.16
BICO INJETOR,https://testdata.devmka.online/products/c6eeda27-ae5b-4217-a0af-94704a1acc1c,AJ597-8419M,BOSCH,Filtros,0.45,14.8,56.1,12 meses,Aço Carbono,https://picsum.photos/seed/AJ597-8419M/200/300,105,699.47
SONDA LAMBDA,https://testdata.devmka.online/products/3036a648-70b6-4e2f-8419-802d1f5428cd,UO191-5705M,ACDELCO,Filtros,12.73,39.2,75.9,12 meses,Aço Carbono,https://picsum.photos/seed/UO191-5705M/200/300,88,316.88
JUNTA HOMOCINÉTICA,https://testdata.devmka.online/products/fbebce57-f44c-4dde-90c6-7d4c2dcbdd13,NR101-6418L,SKF,Suspensão e Direção,6.67,13.1,16.3,12 meses,Aço Carbono,https://picsum.photos/seed/NR101-6418L/200/300,109,365.55
BOMBA DE COMBUSTÍVEL,https://testdata.devmka.online/products/30f2672d-e2f9-4dcb-82f0-4831e127520f,YJ046-5993K,SKF,Transmissão,7.63,48.1,41.6,12 meses,Alumínio,https://picsum.photos/seed/YJ046-5993K/200/300,3,1261.63
KIT DE EMBREAGEM,https://testdata.devmka.online/products/bdb1a286-5375-4cd7-a1db-867349282ff7,LP846-5721C,SKF,Freios,2.64,47.4,43.0,12 meses,Borracha Sintética,https://picsum.photos/seed/LP846-5721C/200/300,52,854.16
ROLAMENTO DE RODA,https://testdata.devmka.online/products/9011b3da-460d-4596-a3fb-0a5b699170ff,LQ216-5035B,MONROE,Suspensão e Direção,0.23,22.5,82.5,12 meses,Cerâmica,https://picsum.photos/seed/LQ216-5035B/200/300,32,540.52
PIVÔ DE SUSPENSÃO,https://testdata.devmka.online/products/3eaec3ac-9440-4514-9229-875cc0e6395e,ML704-4893I,BREMBO,Suspensão e Direção,12.34,13.0,95.5,12 meses,Aço Carbono,https://picsum.photos/seed/ML704-4893I/200/300,24,545.73
ROLAMENTO DE RODA,https://testdata.devmka.online/products/04396835-42e1-4ee2-ae24-88bbdea02454,QR528-2699Y,BOSCH,Suspensão e Direção,4.99,26.7,87.6,12 meses,Aço Carbono,https://picsum.photos/seed/QR528-2699Y/200/300,47,536.08
PIVÔ DE SUSPENSÃO,https://testdata.devmka.online/products/d7a51010-7094-433d-a38a-a0fa45ba9944,ZN483-9804B,NGK,Freios,6.6,23.8,62.4,12 meses,Alumínio,https://picsum.photos/seed/ZN483-9804B/200/300,112,431.5
PASTILHA DE FREIO,https://testdata.devmka.online/products/698dda10-34d5-450a-9625-7329295bf9c7,BF773-4523H,SKF,Transmissão,7.28,7.0,71.4,12 meses,Alumínio,https://picsum.photos/seed/BF773-4523H/200/300,33,853.38
TERMINAL DE DIREÇÃO,https://testdata.devmka.online/products/df9776d1-3507-4ec2-b25b-b6d533db8ee3,XH426-4156X,BOSCH,Filtros,7.23,11.6,75.6,12 meses,Aço Carbono,https://picsum.photos/seed/XH426-4156X/200/300,171,125.99
RADIADOR,https://testdata.devmka.online/products/2df5d1cf-4d24-49be-bec5-000935d2f241,LL143-7343R,ACDELCO,Sistema Elétrico,5.86,28.3,59.8,12 meses,Aço Carbono,https://picsum.photos/seed/LL143-7343R/200/300,183,418.77
MOTOR DE PARTIDA,https://testdata.devmka.online/products/bc682e06-d48e-44b1-9aa8-a2132e557c58,JU609-8228L,ACDELCO,Transmissão,12.34,15.9,24.7,12 meses,Cerâmica,https://picsum.photos/seed/JU609-8228L/200/300,195,1451.43
ALTERNADOR,https://testdata.devmka.online/products/2f212acb-f439-47df-b3bd-56b7c79a863f,MT541-3979W,ACDELCO,Freios,7.85,37.1,29.0,12 meses,Cerâmica,https://picsum.photos/seed/MT541-3979W/200/300,90,169.12
KIT DE EMBREAGEM,https://testdata.devmka.online/products/377538cb-2c95-4502-a110-b259eccc21eb,TG080-1862U,BOSCH,Motor,8.78,7.9,48.8,12 meses,Alumínio,https://picsum.photos/seed/TG080-1862U/200/300,7,878.54
FILTRO DE COMBUSTÍVEL,https://testdata.devmka.online/products/03c0b9f2-d313-4159-a73b-8d14b2375df4,OU445-9853R,NGK,Freios,0.59,7.6,41.6,12 meses,Alumínio,https://picsum.photos/seed/OU445-9853R/200/300,171,165.93
ROLAMENTO DE RODA,https://testdata.devmka.online/products/19824d79-3700-4aea-bf49-5f95d06bf8ea,ON890-9891I,ACDELCO,Filtros,8.59,16.9,23.0,12 meses,Cerâmica,https://picsum.photos/seed/ON890-9891I/200/300,134,1214.09
MOTOR DE PARTIDA,https://testdata.devmka.online/products/69f6e9a6-0704-41b0-8c0b-b1a2bd9a7d55,KE076-2007C,MONROE,Suspensão e Direção,5.66,43.9,82.3,12 meses,Alumínio,https://picsum.photos/seed/KE076-2007C/200/300,100,544.62
FILTRO DE AR DO MOTOR,https://testdata.devmka.online/products/90005a3a-31a5-4e0a-94e2-c2a2c42f9dfb,JN587-9308T,BREMBO,Filtros,7.45,20.8,66.9,12 meses,Borracha Sintética,https://picsum.photos/seed/JN587-9308T/200/300,98,960.93
MOTOR DE PARTIDA,https://testdata.devmka.online/products/2e951d33-e18d-45d4-abf5-ab33d8575a5a,OS538-7463A,MARELLI,Motor,0.19,12.8,84.1,12 meses,Borracha Sintética,https://picsum.photos/seed/OS538-7463A/200/300,79,210.49
RADIADOR,https://testdata.devmka.online/products/e24ceba8-f918-4e87-833b-b97e1a1524cb,UH051-1513R,MARELLI,Motor,11.48,9.6,14.1,12 meses,Borracha Sintética,https://picsum.photos/seed/UH051-1513R/200/300,50,1077.3
SONDA LAMBDA,https://testdata.devmka.online/products/34cb95cd-95b9-4dc5-8a74-0eccd8965de4,OC565-8437U,MARELLI,Transmissão,4.98,32.2,51.9,12 meses,Cerâmica,https://picsum.photos/seed/OC565-8437U/200/300,51,539.36
AMORTECEDOR DIANTEIRO,https://testdata.devmka.online/products/753838e9-3c82-49b4-8ff1-b006a50333be,DF907-1877G,BREMBO,Motor,0.33,32.0,36.2,12 meses,Aço Carbono,https://picsum.photos/seed/DF907-1877G/200/300,28,1357.09
MOTOR DE PARTIDA,https://testdata.devmka.online/products/9ef57cc3-88bc-4d04-9552-9a47b78102c8,HF717-3137V,SKF,Freios,7.33,25.1,98.0,12 meses,Cerâmica,https://picsum.photos/seed/HF717-3137V/200/300,22,806.11
TERMINAL DE DIREÇÃO,https://testdata.devmka.online/products/186bf386-5eb8-45d2-8a95-c946debd5c4c,GJ360-4873H,SKF,Filtros,4.21,29.5,32.8,12 meses,Borracha Sintética,https://picsum.photos/seed/GJ360-4873H/200/300,167,304.52
DISCO DE FREIO,https://testdata.devmka.online/products/574cd652-5e87-45e0-b47b-8169083e7674,FA840-9958L,NGK,Filtros,5.86,27.3,94.1,12 meses,Alumínio,https://picsum.photos/seed/FA840-9958L/200/300,126,995.51
ALTERNADOR,https://testdata.devmka.online/products/71098396-f06a-4f53-8c0a-316d3e2d60a2,QE301-6244M,MARELLI,Sistema Elétrico,5.81,34.2,63.3,12 meses,Alumínio,https://picsum.photos/seed/QE301-6244M/200/300,96,1058.47
BICO INJETOR,https://testdata.devmka.online/products/aa721d8f-6381-44b7-afd5-f1141b26f28a,UW823-1925T,BOSCH,Suspensão e Direção,0.29,17.9,91.1,12 meses,Borracha Sintética,https://picsum.photos/seed/UW823-1925T/200/300,56,669.55
MOTOR DE PARTIDA,https://testdata.devmka.online/products/ca8b7d2e-500f-4838-a070-d7bc86915ea6,LO773-1572L,BREMBO,Transmissão,11.4,44.2,95.9,12 meses,Borracha Sintética,https://picsum.photos/seed/LO773-1572L/200/300,161,483.56
PIVÔ DE SUSPENSÃO,https://testdata.devmka.online/products/bd011543-abb0-431a-8429-6e914a763bda,UV357-6558A,MONROE,Sistema Elétrico,8.29,23.8,34.2,12 meses,Borracha Sintética,https://picsum.photos/seed/UV357-6558A/200/300,19,462.65
FILTRO DE AR DO MOTOR,https://testdata.devmka.online/products/5be29767-65dd-4116-9b00-11ff31bf0378,ZO006-9964Q,BOSCH,Filtros,2.59,7.5,28.4,12 meses,Aço Carbono,https://picsum.photos/seed/ZO006-9964Q/200/300,40,95.33
BICO INJETOR,https://testdata.devmka.online/products/b0969384-fa62-45c2-b986-a07deb697213,EL171-8092F,BREMBO,Filtros,1.39,8.9,68.7,12 meses,Cerâmica,https://picsum.photos/seed/EL171-8092F/200/300,78,779.78
ALTERNADOR,https://testdata.devmka.online/products/dff64bc5-fad7-499b-884c-735dbf7eb6ac,YP434-3653D,BOSCH,Sistema Elétrico,12.82,32.0,18.4,12 meses,Aço Carbono,https://picsum.photos/seed/YP434-3653D/200/300,138,1352.3
DISCO DE FREIO,https://testdata.devmka.online/products/c41910bc-92bd-41a4-9286-ba56943454ed,EU302-1005X,NGK,Filtros,1.51,23.5,42.7,12 meses,Cerâmica,https://picsum.photos/seed/EU302-1005X/200/300,151,833.79
FILTRO DE COMBUSTÍVEL,https://testdata.devmka.online/products/c16437ab-4789-4e9a-a75f-224ec5ab8761,WF691-8774N,MONROE,Filtros,9.92,13.1,66.1,12 meses,Borracha Sintética,https://picsum.photos/seed/WF691-8774N/200/300,20,670.18
RADIADOR,https://testdata.devmka.online/products/c472b86e-93db-448a-92f0-09a540b8f6b7,DK188-3515J,BREMBO,Transmissão,13.56,21.5,98.8,12 meses,Aço Carbono,https://picsum.photos/seed/DK188-3515J/200/300,9,776.62
AMORTECEDOR DIANTEIRO,https://testdata.devmka.online/products/f49b7c44-4dfb-4a37-ab11-8ceefa32b715,JL162-6912M,NGK,Filtros,4.1,38.4,67.1,12 meses,Alumínio,https://picsum.photos/seed/JL162-6912M/200/300,124,1290.65
BOMBA DE COMBUSTÍVEL,https://testdata.devmka.online/products/b31f242d-a204-4e95-8746-1a1083d160cb,XI943-4572O,ACDELCO,Motor,7.56,47.0,20.6,12 meses,Cerâmica,https://picsum.photos/seed/XI943-4572O/200/300,122,1368.62
BATERIA AUTOMOTIVA,https://testdata.devmka.online/products/0e4dadb4-b28a-434b-bdb6-8e926cdafe8c,WP508-9920C,BOSCH,Filtros,11.43,41.2,14.5,12 meses,Aço Carbono,https://picsum.photos/seed/WP508-9920C/200/300,93,1068.94
ROLAMENTO DE RODA,https://testdata.devmka.online/products/0ccd5097-9f09-4081-96c5-7ba632da20be,TW364-8167U,BREMBO,Transmissão,11.67,18.4,12.6,12 meses,Aço Carbono,https://picsum.photos/seed/TW364-8167U/200/300,120,307.56
